School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
17-18,High School,452,Hunters Lane High,358,37207,,,,,,,,,,,,319,399,340,365,,16,678,493,3,233,726,697,733,170,268,36.2788275473,-86.7538434982,"(36.2788275473, -86.7538434982)"
17-18,Elementary School,395,Harpeth Valley Elementary,300,37221,6,10,151,154,140,128,165,,,,,,,,,2,56,103,55,4,534,398,356,96,91,49,36.0455259589,-86.9580499609,"(36.0455259589, -86.9580499609)"
17-18,Charter,696,STEM Prep High School,8075,37210,,,,,,,,,,,,131,121,106,,,8,58,188,,104,175,183,161,31,114,36.1354168461,-86.7386223689,"(36.1354168461, -86.7386223689)"
17-18,Special Education,448,Cora Howe School,443,37206,,,,3,,5,5,4,10,11,10,7,15,20,16,,2,59,7,,38,86,20,52,105,5,36.1889302687,-86.7345832942,"(36.1889302687, -86.7345832942)"
17-18,Elementary School,610,Old Center Elementary,535,37072,,37,68,55,71,57,67,,,,,,,,,1,6,172,109,,67,162,193,193,49,69,36.2912097239,-86.7379489567,"(36.2912097239, -86.7379489567)"
17-18,Middle School,270,Dupont-Hadley Middle,190,37138,,,,,,,,178,151,176,151,,,,,2,12,182,91,1,368,344,312,239,92,58,36.2497784913,-86.6427891084,"(36.2497784913, -86.6427891084)"
17-18,Elementary School,420,Hickman Elementary,327,37214,9,39,93,99,82,93,98,,,,,,,,,2,17,195,82,2,215,289,224,248,81,87,36.1649798716,-86.6574788374,"(36.1649798716, -86.6574788374)"
17-18,Charter,743,Valor Flagship Academy,8045,37211,,,,,,,,120,116,125,114,,,,,,24,63,85,1,302,232,243,140,40,130,36.0708005834,-86.725494633,"(36.0708005834, -86.725494633)"
17-18,Middle School,365,Gra-Mar Middle,285,37216,,,,,,,,69,73,95,85,,,,,1,6,225,48,,42,166,156,222,69,57,36.2328428043,-86.7451605246,"(36.2328428043, -86.7451605246)"
17-18,High School,532,McGavock High,470,37214,,,,,,,,,,,,609,607,623,470,8,66,879,409,3,944,1169,1140,912,311,179,36.1854431861,-86.6778493538,"(36.1854431861, -86.6778493538)"
17-18,Charter,652,Purpose Prep,8046,37228,,,68,58,58,88,75,,,,,,,,,,1,328,12,,6,167,180,169,27,5,36.1942880381,-86.7946999618,"(36.1942880381, -86.7946999618)"
